id,name,state_before,date_order,amount_total,n_lines
9,S00009,draft,2023-01-25 17:14:05,10057.0,1
29,S00029,draft,2023-01-27 23:08:01,19210.0,1
32,S00032,draft,2023-01-29 00:37:49,27000.0,1
36,S00036,draft,2023-01-31 21:50:50,17400.0,2
37,S00037,draft,2023-02-01 17:06:09,8000.0,2
42,S00042,draft,2023-02-01 23:32:55,4200.0,1
43,S00043,draft,2023-02-02 19:47:33,9000.0,1
50,S00050,draft,2023-02-05 23:38:42,23000.0,2
55,S00055,draft,2023-02-08 00:05:51,18000.0,1
56,S00056,draft,2023-02-08 16:03:40,39000.0,1
73,S00073,draft,2023-02-15 18:13:46,0.0,0
78,S00078,draft,2023-02-18 14:58:32,22000.0,1
79,S00079,draft,2023-02-19 05:32:38,17000.0,1
93,S00093,draft,2023-02-24 18:19:55,6000.0,1
94,S00094,draft,2023-02-25 01:27:12,16200.0,2
96,S00096,draft,2023-02-26 18:34:03,31000.0,2
97,S00097,draft,2023-02-27 15:51:00,4200.0,1
100,S00100,draft,2023-02-28 11:48:47,17000.0,1
105,S00105,draft,2023-03-01 10:37:51,3000.0,1
107,S00107,draft,2023-03-02 14:01:08,15000.0,1
110,S00110,draft,2023-03-05 20:49:08,0.0,0
112,S00112,draft,2023-03-06 21:42:11,4500.0,1
113,S00113,draft,2023-03-07 03:45:10,39000.0,1
143,S00143,draft,2023-03-10 00:38:39,0.0,0
144,S00144,draft,2023-03-10 16:17:37,9500.0,1
155,S00155,draft,2023-03-11 03:12:27,8000.0,1
156,S00156,draft,2023-03-11 20:47:31,16800.0,1
157,S00157,draft,2023-03-11 20:59:30,8000.0,1
167,S00167,draft,2023-03-13 03:08:31,24000.0,1
168,S00168,draft,2023-03-13 16:13:38,187100.0,11
225,S00225,draft,2023-03-26 10:36:40,4500.0,1
226,S00226,draft,2023-03-26 11:41:14,14900.0,3
233,S00233,draft,2023-03-27 21:57:04,17800.0,1
244,S00244,draft,2023-03-29 17:36:43,11000.0,1
247,S00247,draft,2023-03-29 19:51:54,0.0,0
260,S00260,draft,2023-03-30 20:49:19,6000.0,1
267,S00267,draft,2023-04-02 00:51:13,17900.0,3
277,S00277,draft,2023-04-02 22:29:38,14000.0,1
278,S00278,draft,2023-04-03 01:02:34,33000.0,2
279,S00279,draft,2023-04-03 16:27:00,36000.0,1
286,S00286,draft,2023-04-05 02:09:29,43500.0,12
287,S00287,draft,2023-04-05 14:55:24,24000.0,1
288,S00288,draft,2023-04-05 14:58:29,24000.0,1
289,S00289,draft,2023-04-08 18:26:16,5000.0,1
290,S00290,draft,2023-04-09 17:42:21,12000.0,2
300,S00300,draft,2023-04-11 22:18:52,25000.0,5
301,S00301,draft,2023-04-12 21:54:42,24000.0,1
302,S00302,draft,2023-04-12 21:57:17,0.0,0
303,S00303,draft,2023-04-14 15:53:05,16500.0,1
305,S00305,draft,2023-04-14 17:26:49,2000.0,1
311,S00311,draft,2023-04-15 03:28:16,14900.0,1
312,S00312,draft,2023-04-15 19:58:44,38000.0,1
313,S00313,draft,2023-04-16 12:26:16,4245.0,1
314,S00314,draft,2023-04-16 22:30:26,0.0,0
315,S00315,draft,2023-04-17 05:18:46,108000.0,1
322,S00322,draft,2023-04-18 06:52:11,32000.0,1
326,S00326,draft,2023-04-18 20:12:14,0.0,0
327,S00327,draft,2023-04-18 22:52:38,3000.0,1
328,S00328,draft,2023-04-19 01:57:06,30100.0,6
333,S00333,draft,2023-04-21 02:37:37,12000.0,1
334,S00334,draft,2023-04-21 08:37:09,39000.0,1
339,S00339,draft,2023-04-21 21:00:55,5000.0,1
340,S00340,draft,2023-04-22 23:45:58,9000.0,1
341,S00341,draft,2023-04-24 01:11:11,11900.0,2
342,S00342,draft,2023-04-24 10:04:12,12000.0,1
343,S00343,draft,2023-04-24 16:13:04,24000.0,1
347,S00347,draft,2023-04-25 02:28:09,13500.0,2
351,S00351,draft,2023-04-25 12:29:36,9000.0,1
352,S00352,draft,2023-04-25 14:38:39,142500.0,13
353,S00353,draft,2023-04-25 15:03:20,0.0,0
357,S00357,draft,2023-04-25 18:20:52,0.0,0
358,S00358,draft,2023-04-25 18:31:14,5700.0,2
363,S00363,draft,2023-04-26 00:23:21,31700.0,5
364,S00364,draft,2023-04-26 04:45:56,800.0,1
365,S00365,draft,2023-04-26 14:37:45,6000.0,1
368,S00368,draft,2023-04-27 13:49:36,2000.0,1
370,S00370,draft,2023-04-28 02:02:19,9500.0,1
380,S00380,draft,2023-04-28 22:22:21,21000.0,1
381,S00381,draft,2023-04-30 01:20:10,27500.0,4
382,S00382,draft,2023-04-30 18:54:39,4000.0,1
383,S00383,draft,2023-05-01 11:34:20,26000.0,2
384,S00384,draft,2023-05-02 03:47:42,14800.0,1
385,S00385,draft,2023-05-02 17:04:19,6000.0,1
386,S00386,draft,2023-05-03 13:31:34,0.0,0
395,S00395,draft,2023-05-03 23:57:42,26700.0,1
396,S00396,draft,2023-05-04 23:57:25,4500.0,1
400,S00400,draft,2023-05-06 02:20:49,40000.0,1
